Japanese,English,Reading
おい,hey!,おい
おけさ,style of Japanese folk song associated with Niigata Prefecture,おけさ
おけさ節,style of Japanese folk song associated with Niigata Prefecture,おけさぶし
おこしやす,welcome!,おこしやす
お座なりになる,to not be taken seriously,おざなりになる
おしっこ,wee-wee,おしっこ
おしゃぶり,teething ring,おしゃぶり
悍ましい,disgusting,おぞましい
オタオタ,flustered,オタオタ
おちんちん,penis,おちんちん
おっかない,frightening,おっかない
落っこちる,to fall,おっこちる
おっさん,middle-aged man,おっさん
おっちょこちょい,careless person,おっちょこちょい
おっぱい,boobs,おっぱい
御田,oden,おでん
オドオド,timidly,オドオド
お鍋,pan,おなべ
屁,wind,おなら
おばこ,young girl,おばこ
おべっか,flattery,おべっか
おべんちゃら,(excessive) flattery,おべんちゃら
お負けに,to make matters worse,おまけに
お呪い,good luck charm,おまじない
おまんこ,pussy,おまんこ
御襁褓気触れ,diaper rash,おむつかぶれ
お粧し,dressing up,おめかし
おめでとう御座います,congratulations,おめでとうございます
おや,oh!,おや
おやおや,my goodness!,おやおや
おろおろ,in confusion,おろおろ
おデブさん,chubby person,おデブさん
お握り,onigiri,おにぎり
お陰,grace (of God),おかげ
お蔭様,(someone's) assistance,おかげさま
お下げ,wearing one's hair in braids,おさげ
お化け,ghost,おばけ
お化け屋敷,haunted house,おばけやしき
お嫁さん,wife,およめさん
お菓子,confections,おかし
お願いします,please,おねがいします
お願いいたします,please,おねがいいたします
お帰りなさい,welcome home,おかえりなさい
お気の毒,"I am sorry (to hear, to say, etc.)",おきのどく
お客さん,guest,おきゃくさん
お客様,guest,おきゃくさま
お休みなさい,good night,おやすみなさい
お宮,Shinto shrine,おみや
お宮参り,miyamairi,おみやまいり
お供,attendant,おとも
お金,money,おかね
お兄さん,older brother,おにいさん
お兄ちゃん,(one's) older brother,おにいちゃん
お結び,rice ball,おむすび
お見えになる,to arrive,おみえになる
お見舞い,calling on someone who is ill,おみまい
お古,used article (esp. clothes),おふる
お好み焼き,okonomiyaki,おこのみやき
お構いなく,please don't fuss over me,おかまいなく
お絞り,wet towel (supplied at table),おしぼり
お札,bill,おさつ
お雑煮,soup containing rice cakes and vegetables (New Year's dish),おぞうに
お三時,afternoon snack (eaten around 3 o'clock),おさんじ
お参り,"visit (to a shrine, grave, etc.)",おまいり
お産,(giving) birth,おさん
お仕舞い,the end,おしまい
お使い,errand,おつかい
お姉さん,older sister,おねえさん
お子さん,child,おこさん
お子様,(someone else's) child,おこさま
お歯黒,tooth blackening,おはぐろ
お辞儀,bow,おじぎ
お七夜,name-giving ceremony,おしちや
お邪魔します,please excuse the intrusion,おじゃまします
お守り,charm,おまもり
お手玉,beanbag,おてだま
お手上げ,being done for,おてあげ
お手盛り,making arbitrary decisions which benefit oneself,おてもり
お手洗い,toilet,おてあらい
お手伝いさん,maid,おてつだいさん
お巡りさん,police officer,おまわりさん
お召し,summoning,おめし
お召し物,clothing,おめしもの
お勧め,recommendation,おすすめ
お上りさん,countryside people (in town),おのぼりさん
お嬢さん,(another's) daughter,おじょうさん
お食い初め,okuizome,おくいぞめ
お尻,bottom,おしり
お寝小,bed-wetting,おねしょ
お新香,pickled vegetables,おしんこ
お浸し,boiled greens in bonito-flavoured soy sauce (vegetable side dish),おひたし
お神酒,sacred wine,おみき
お尋ね者,person sought by the police,おたずねもの
お世辞,flattery,おせじ
お世話になる,to receive favor,おせわになる
お生憎様,that's too bad,おあいにくさま
お先に,before,おさきに
お前,you,おまえ
お前さん,you,おまえさん
お膳,four-legged tray for festive food,おぜん
お祖父さん,grandfather,おじいさん
お祖母さん,grandmother,おばあさん
お早うございます,good morning,おはようございます
お孫さん,grandchild,おまごさん
お待ちどおさま,I'm sorry to have kept you waiting,おまちどおさま
お袋,one's mother,おふくろ
お大事に,take care of yourself,おだいじに
お宅,your house,おたく
お誕生日おめでとうございます,happy birthday,おたんじょうびおめでとうございます
お知らせ,notice,おしらせ
お茶,tea (usu. green),おちゃ
お猪口,sake cup,おちょこ
お喋り,chattering,おしゃべり
お天気,weather,おてんき
お転婆,tomboy,おてんば
お屠蘇,New Year's sake,おとそ
お土産,local specialty or souvenir bought as a gift while travelling,おみやげ
お湯,hot water,おゆ
お得,bargain,おとく
お凸,brow,おでこ
お婆ん,old maid,おばん
お疲れ様,thank you (for your hard work),おつかれさま
お付き,retainer,おつき
お父さん,father,おとうさん
お風呂に入る,to take a bath,おふろにはいる
お腹,belly,おなか
お別れ,parting,おわかれ
お返し,return gift,おかえし
お母さん,mother,おかあさん
お母様,mother,おかあさま
お坊ちゃん,son (of others),おぼっちゃん
お墨付き,certificate,おすみつき
お盆,O-Bon,おぼん
お餅,rice cakes,おもち
お冷,cold (drinking) water,おひや
お漏らし,wetting oneself,おもらし
お話し中,busy (phone),おはなしちゅう
お碗,bowl,おわん
お洒落,smartly dressed,おしゃれ
畏まりました,certainly!,かしこまりました
かしら,I wonder,かしら
悴む,to grow numb with cold,かじかむ
梶木,marlin,かじき
片口鰯,Japanese anchovy (Engraulis japonica),かたくちいわし
カチカチ,ticktock,カチカチ
カチッと,with a click (door sound),カチッと
カチン,clink,カチン
かっか,to burn hotly,かっか
格好つける,to affect a stylish air,かっこうつける
掻っ攫う,to snatch (and run),かっさらう
かっちり,tightly,かっちり
カッと,flaring up,カッと
カツカツ,barely,カツカツ
かな,I wonder,かな
敵わない,no match for,かなわない
上さん,(one's) wife,かみさん
かも知れない,may,かもしれない
かも知れません,may,かもしれません
から,"from (e.g. time, place, numerical quantity)",から
揶揄い,teasing,からかい
からから,parched,からから
絡繰り,mechanism,からくり
からっと,"bright and clear (weather, sky, etc.)",からっと
からと言って,just because,からといって
からり,with a clatter,からり
かんかん怒る,to get very mad,かんかんおこる
か弱い,weak,かよわい
ガーッと,with a grinding noise,ガーッと
ガクガク,"trembling (with fear, cold, etc.)",ガクガク
がさがさ,rustling,がさがさ
ガタガタ,rattling,ガタガタ
ガチガチ,chattering (teeth),ガチガチ
ガチャガチャ,clatter,ガチャガチャ
がちゃりと,with a clank,がちゃりと
ガチャン,"(with a) slamming noise (door, telephone receiver)",ガチャン
がちんがちん,tick-tock,がちんがちん
がっかり,to be disappointed,がっかり
がっくり,heartbroken,がっくり
がっしり,firmly,がっしり
がっちり,solid,がっちり
がっちり屋,tightwad,がっちりや
がっぷり,firmly (grasped),がっぷり
ガツガツ,hungrily,ガツガツ
がぶがぶ,gulping down (a drink),がぶがぶ
ガミガミ,nagging,ガミガミ
がやがや,noisily (crowd of people talking),がやがや
ガラガラ,with a clatter,ガラガラ
がらがら蛇,rattlesnake,がらがらへび
がらんどう,empty,がらんどう
がり,sliced ginger prepared in vinegar (served with sushi),がり
がり勉,person who studies very hard (at school),がりべん
キーキー,with a (sharp) creak,キーキー
きかん気,unruly (e.g. of a child),きかんき
きちきち,"jam-packed (physically or of schedule, etc.)",きちきち
きちっと,exactly,きちっと
きちんと,properly,きちんと
きっかり,exactly,きっかり
きっちり,exactly,きっちり
屹度,surely,きっと
きっぱり,clearly,きっぱり
きつい,tough,きつい
きびきび,brisk,きびきび
きゅうきゅう,squeak,きゅうきゅう
きゅっと,creakingly,きゅっと
キョロキョロ,(looking around) restlessly,キョロキョロ
キラキラ,glittering,キラキラ
きんきん,shrill,きんきん
ギクシャク,"awkward (movements, speech, etc.)",ギクシャク
ぎこちない,awkward,ぎこちない
刻々,notches,ぎざぎざ
ギスギス,"stiff (atmosphere, manner, etc.)",ギスギス
ぎっくり腰,strained back,ぎっくりごし
ぎっしり,tightly (packed),ぎっしり
ぎゅうぎゅう,creaking,ぎゅうぎゅう
ぎゅぎゅ,snoringly,ぎゅぎゅ
ぎゅっと,"tightly (hold, squeeze, etc.)",ぎゅっと
ぎょっと,being startled,ぎょっと
ぎょろぎょろ,goggling,ぎょろぎょろ
ギラギラ,glaringly,ギラギラ
限り限り,just barely,ぎりぎり
くさくさ,feeling depressed,くさくさ
くしゃくしゃ,crumpled,くしゃくしゃ
嚏,sneeze,くしゃみ
くすくす笑う,to giggle,くすくすわらう
擽ったい,ticklish,くすぐったい
擽る,to tickle,くすぐる
くたくた,exhausted,くたくた
くたばっちまえ,"drop dead, you bastard!",くたばっちまえ
くたばる,to kick the bucket,くたばる
くたばれ,drop dead!,くたばれ
草臥れる,to get tired,くたびれる
梔子,Cape jasmine (Gardenia jasminoides),くちなし
くっきり,distinctly (standing out),くっきり
くっ付く,to adhere to,くっつく
くっ付ける,to attach,くっつける
くつくつ法師,Meimuna opalifera (species of cicada),くつくつぼうし
くどくど,"tediously (explain, complain, etc.)",くどくど
くねくね,winding,くねくね
くねる,to bend loosely back and forth,くねる
隈なく,all over,くまなく
くよくよ,to fret (over),くよくよ
クラクラ,dizzy,クラクラ
比べ,contest,くらべ
くるくる,whirling,くるくる
くる病,rickets,くるびょう
くわ入れ式,ground-breaking ceremony,くわいれしき
クンクン鳴く,to whine (of a dog),クンクンなく
ぐいぐい,without hesitation,ぐいぐい
ぐうぐう,fast (asleep),ぐうぐう
愚図愚図,slowly,ぐずぐず
ぐちゃぐちゃ,pulpy,ぐちゃぐちゃ
ぐっすり,soundly (sleeping),ぐっすり
ぐったり,limply,ぐったり
ぐっと,suddenly,ぐっと
ぐにゃぐにゃ,flabby,ぐにゃぐにゃ
ぐぶぐぶ,gurgling,ぐぶぐぶ
グラグラ,wobbling,グラグラ
ぐらつく,to be unsteady,ぐらつく
ぐる,accomplice,ぐる
ぐるぐる,(turning) round and round,ぐるぐる
ぐれる,to stray from the right path,ぐれる
ぐんぐん,rapidly,ぐんぐん
けじめ,"distinction (e.g. between right and wrong, public and private, etc.)",けじめ
けたたましい,piercing,けたたましい
ケツの穴,anus,けつのあな
けど,but,けど
けばけば,gaudy,けばけば
ケラケラ笑う,to cackle,ケラケラわらう
げっそり,to be disheartened,げっそり
ゲップ,belch,ゲップ
ゲラゲラ笑う,to guffaw,ゲラゲラわらう
ゲロ,vomit,ゲロ
げろげろ,that's gross!,げろげろ
ゲンを担ぐ,to be superstitious,ゲンをかつぐ
斯う,in this way,こう
こう言う,such,こういう
こうすると,having done this,こうすると
こうすれば,if you do this,こうすれば
こじ付ける,to distort,こじつける
こせこせ,restlessly,こせこせ
こそ,it is ... that ...,こそ
こそこそ,sneakily,こそこそ
こそ泥,sneak thief,こそどろ
炬燵掛け,futon or cloth attached to the kotatsu's frame,こたつがけ
こたつ布団,quilt coverlet for a kotatsu,こたつぶとん
こだま,Kodama,こだま
拘り,obsession,こだわり
拘る,to be obsessive (about),こだわる
此方,this way,こちら
此方,this way,こなた
こちらこそ,it is I who should say so,こちらこそ
こっそり,stealthily,こっそり
コツコツ,steadily,コツコツ
事がある,(for something) to have occurred,ことがある
ことが出来る,to be able (to),ことができる
コトコト,gentle clinking,コトコト
悉く,altogether,ことごとく
事にすると,perhaps,ことにすると
事になる,to have been decided (so) that,ことになる
事によって,via,ことによって
此間,the other day,こないだ
このおかげで,because of this,このおかげで
このため,because of this,このため
この外,besides,このほか
このような場合に,in this kind of situation,このようなばあいに
この間,the other day,このあいだ
この結果,consequently,このけっか
この頃,these days,このごろ
この場合,in this case,このばあい
この度,this occasion,このたび
この辺,this area,このへん
こぼし話,complaining,こぼしばなし
こら,hey!,こら
此れから,from now on,これから
これで,here,これで
これと同じ,the same as this,これとおなじ
これ迄,so far,これまで
これ等,these,これら
コロコロ,lightly rolling (of a small and round thing),コロコロ
ころり,easily,ころり
コンコン,tap-tap,コンコン
こんな,this sort of,こんな
こんなに,so,こんなに
ごそごそ,with a rustling sound,ごそごそ
ゴタゴタ,trouble,ゴタゴタ
ごちゃごちゃ,messy,ごちゃごちゃ
ごっこ,playing at (something),ごっこ
ごった,confusion,ごった
ごった返す,to be in confusion or commotion,ごったがえす
ごぼごぼ,gurgling,ごぼごぼ
誤魔化し,cheating,ごまかし
ゴミ入れ,trashcan,ゴミいれ
ゴミ箱,garbage can,ゴミばこ
ゴロゴロ,"rumbling (of thunder, one's stomach, etc.)",ゴロゴロ
ご苦労様,thank you (for your hard work),ごくろうさま
ご苦労さん,I appreciate your efforts,ごくろうさん
ご兄弟,siblings,ごきょうだい
ご心配なく,don't worry,ごしんぱいなく
ご馳走様でした,thank you for the meal,ごちそうさまでした
ご注意,attention,ごちゅうい
ご覧ください,please look at it,ごらんください
さあ,come (on),さあ
さえ,even,さえ
サクサク,crisp (not moist or juicy),サクサク
ささくれる,to split finely,ささくれる
させる,to make (someone) do,させる
させ子,easy girl,させこ
先,a short while ago,さっき
さっさと,quickly,さっさと
颯と,quickly (esp. actions),さっと
さっぱり,feeling refreshed,さっぱり
さて置く,to set aside,さておく
さてさて,well!,さてさて
サバサバ,relieved,サバサバ
さめざめ,(weep) quietly,さめざめ
さもしい,low,さもしい
サヨナラホームラン,game-ending home run,サヨナラホームラン
さらけ出す,to expose,さらけだす
さらさら,with a rustling sound,さらさら
さり気ない,nonchalant,さりげない
さん,Mr.,さん
ザクザク,walking on frost,ザクザク
ざっくばらん,frank,ざっくばらん
ざっと,roughly,ざっと
ざまを見ろ,serves you right!,ざまをみろ
ザラザラ,"rough (touch, voice, etc.)",ザラザラ
ざわざわ,noisily (from many people talking),ざわざわ
悄悄,in low spirits,しおしお
しか,nothing but,しか
しがみ付く,to cling,しがみつく
頻りに,frequently,しきりに
しくしく泣く,to cry softly,しくしくなく
しくじる,to fail,しくじる
繁繁,frequently,しげしげ
しっくり,exactly,しっくり
執拗い,insistent,しつこい
しとしと,gently (raining),しとしと
屡々,often,しばしば
しぶとい,tenacious,しぶとい
仕舞った,darn it!,しまった
沁み沁み,keenly,しみじみ
しゃあしゃあ,shamelessly,しゃあしゃあ
しゃがむ,to squat,しゃがむ
しゃきしゃき,crisp,しゃきしゃき
吃逆,hiccup,しゃっくり
しゃぶしゃぶ,shabu-shabu,しゃぶしゃぶ
しゃぶる,to suck,しゃぶる
喋り,talk,しゃべり
しゃり,sushi rice,しゃり
し易い,easy to make,しやすい
しょっちゅう,always,しょっちゅう
小便をする,to urinate,しょうべんをする
小便を垂れる,to pee,しょんべんをたれる
しょんぼり,downheartedly,しょんぼり
白口,silver white croaker (Pennahia argentata),しろぐち
嗄れる,to become hoarse,しゃがれる
涔々,"falling heavily (of rain, snow, etc.)",しんしん
しんどい,tired,しんどい
しんねり,persistently,しんねり
しんみり,quietly,しんみり
し吹く,to splash,しぶく
じくじく,oozing,じくじく
じたばた,(kicking and) struggling,じたばた
じっくり,(slowly and) carefully,じっくり
凝乎と,"motionlessly (e.g. stand, wait)",じっと
じっと見る,to watch steadily,じっとみる
じめじめ,damp,じめじめ
じゃあ,then,じゃあ
じゃあじゃあ,"noisily (of water gushing, pouring, spilling, splashing, spraying, etc.)",じゃあじゃあ
また明日,see you tomorrow,またあした
じゃが芋,potato (Solanum tuberosum),じゃがいも
じゃじゃ馬,restive horse,じゃじゃうま
じゃぶじゃぶ,splashing (water),じゃぶじゃぶ
じゃりじゃり,crunchy,じゃりじゃり
じゃん拳,rock-paper-scissors (game),じゃんけん
じゅうじゅう,"sizzling (of cooking meat, fish, etc.)",じゅうじゅう
焦らす,to tease,じらす
じりじり,slowly (but steadily),じりじり
焦れったい,irritating,じれったい
じろじろ見る,to stare at,じろじろみる
じんわり,gradually (progressing),じんわり
スースー,cool sensation from passing air,スースー
スイスイ,lightly and smoothly (of movements),スイスイ
好き者,lecher,すきもの
すすり泣く,to sob,すすりなく
すたすた,(walk) briskly,すたすた
すっからかん,completely empty,すっからかん
すっかり,all,すっかり
すっきり,refreshingly,すっきり
スカッと,refreshingly,スカッと
すっと,straight,すっと
すっぱり,"completely (quitting, etc.)",すっぱり
すっぽかす,to leave (something) undone,すっぽかす
すっぽんぽん,utterly stark naked,すっぽんぽん
すばしっこい,nimble,すばしっこい
す可き,should do,すべき
スベタ,bitch,スベタ
すやすや,(sleeping) peacefully,すやすや
スラスラ,smoothly,スラスラ
すらり,"long, slender and well-proportioned",すらり
するが良い,had better ...,するがいい
するする,smoothly,するする
すると,thereupon,すると
するよろし,had better ...,するよろし
するり,"with a smooth, unhindered motion",するり
擦れ擦れ,grazing,すれすれ
すんなり,slim,すんなり
ずかずか,rudely (barging in),ずかずか
ズキズキ,throbbingly (of pain),ズキズキ
ずけずけ,(speak) bluntly,ずけずけ
ずっしり,heavily,ずっしり
ずっと,continuously,ずっと
ずばずば言う,to speak one's mind,ずばずばいう
ズバリ,decisively,ズバリ
ずぶ濡れ,dripping wet,ずぶぬれ
ずらす,to shift,ずらす
ずらっと,in a line,ずらっと
ずるずる,(dragging a large or heavy item) slowly,ずるずる
ずれ,gap,ずれ
ずれる,to slide,ずれる
ずんずん,"rapidly (e.g. progress, moving forward)",ずんずん
せかせか,restlessly,せかせか
せがむ,to badger,せがむ
せこい,petty,せこい
せざるを得ない,cannot avoid doing,せざるをえない
せしめる,to cheat (someone out of),せしめる
せず,without doing,せず
せずに,without (doing),せずに
せっかち,hasty,せっかち
せびる,to demand money,せびる
せめて,at least,せめて
せん状骨,scaphoid bone (in wrist near thumb),せんじょうこつ
其奴,he,そいつ
そう,appearing that,そう
そうかと言って,but still,そうかといって
そうすると,having done that,そうすると
然う然う,so much,そうそう
そうだ,that is so,そうだ
そうでない場合は,if this is not the case,そうでないばあいは
其処,there (place relatively near listener),そこ
其処いら,that area,そこいら
そこそこ,reasonably,そこそこ
そこまで,go that far,そこまで
其処ら,everywhere,そこら
而して,and,そして
そそっかしい,careless,そそっかしい
唆る,to excite,そそる
漫ろに,in spite of oneself,そぞろに
そぞろ歩き,"slow, relaxed walk",そぞろあるき
其方,that way,そちら
そっくり,all,そっくり
そっと,softly,そっと
其の,that,その
その上で,moreover,そのうえで
その為,hence,そのため
その後,after that,そのあと
その実,in fact,そのじつ
その上,in addition,そのうえ
その場合には,in that case,そのばあいには
その他,the rest,そのほか
その都度,each time it happens,そのつど
その内,before very long,そのうち
その反面,on the other hand,そのはんめん
抑,in the first place,そもそも
そよ風,gentle breeze,そよかぜ
其れ,that,それ
其れから,and then,それから
其れ丈,that much,それだけ
其れで,so,それで
其れとも,or,それとも
それ処か,on the contrary,それどころか
其れなり,in itself,それなり
其れに,besides,それに
それに加えて,in addition to this,それにくわえて
それ程,to that degree,それほど
それ等,those (near the second person),それら
それ以上,further,それいじょう
それ以来,since then,それいらい
それ故に,and so,それゆえに
そわそわ,restlessly,そわそわ
そんな,such,そんな
ぞくぞく,shivering,ぞくぞく
ぞっと,shuddering,ぞっと
ぞろぞろ,in a crowd,ぞろぞろ
ぞんざい,rough,ぞんざい
高が,only,たかが
集り,extortion,たかり
たくし上げる,"to roll up or pull up (sleeves, skirt, etc.)",たくしあげる
たじたじ,flinchingly,たじたじ
たじろぐ,to shrink back,たじろぐ
たった,only,たった
たっぷり,plentifully,たっぷり
辿々しい,faltering,たどたどしい
鱮,"bitterling (any fish of subfamily Acheilognathinae, esp. species Acheilognathus melanogaster)",たなご
度に,each time,たびに
たらたら,drop-by-drop,たらたら
たらん,try to be,たらん
たん瘤,bump (e.g. on forehead),たんこぶ
だから,so,だから
だからって,even so,だからって
だからと言って,while it may be true that,だからといって
丈,only,だけ
だけあって,as one would expect from ...,だけあって
だけでなく,not only ... (but also),だけでなく
だけど,however,だけど
丈に,as one would expect from ...,だけに
ダサい,uncool,ダサい
だったら,if it's the case,だったら
だぶだぶ,loose (of clothing),だぶだぶ
だぼ鯊,goby (fish),だぼはぜ
だまし取る,to take by deception,だましとる
駄目になる,to spoil,だめになる
だもの,indicate reason,だもの
だらけ,full of (e.g. mistakes),だらけ
だらける,to be lazy,だらける
だらし無い,"slovenly (appearance, work, etc.)",だらしない
だらだら,in drops,だらだら
怠い,sluggish,だるい
乳切り木,weight-chain-pole weapon,ちぎりき
ちぐはぐ,mismatched,ちぐはぐ
些と,a little bit,ちっと
些とも,(not) at all,ちっとも
小っぽけ,very small,ちっぽけ
ちびちび,little by little,ちびちび
ちゃきちゃき,efficient,ちゃきちゃき
ちゃっかり,shrewdly,ちゃっかり
ちやほや,to make a fuss over,ちやほや
チャラ,cancelling (a debt),チャラ
チャリ,bicycle,チャリ
チャリンコ,bicycle,チャリンコ
ちゃん,suffix for familiar person,ちゃん
ちゃんこ鍋,chankonabe,ちゃんこなべ
ちゃんこ料理,"fish, meat, and vegetable stew traditionally served to wrestlers",ちゃんこりょうり
ちゃんたま,testicles,ちゃんたま
ちゃんちゃん,regularly,ちゃんちゃん
ちゃんちゃんこ,padded sleeveless kimono jacket,ちゃんちゃんこ
ちゃんと,diligently,ちゃんと
チャンバラ,sword fight,チャンバラ
チャンバラ映画,samurai movie (with a lot of sword fights),ちゃんばらえいが
ちゅう,kiss,ちゅう
ちょいちょい,often,ちょいちょい
ちょくちょく,often,ちょくちょく
ちょこちょこ,toddling,ちょこちょこ
ちょっかい,meddling,ちょっかい
ちょっくら,a little,ちょっくら
ちょっと一杯,let's have a quick drink,ちょっといっぱい
ちょっぴり,a tiny bit,ちょっぴり
ちょび髭,small mustache,ちょびひげ
点,dot,ちょぼ
点々,sparsely,ちょぼちょぼ
ちょろい,easy,ちょろい
ちょろちょろ,trickling (of water),ちょろちょろ
丁髷,topknot (hair style),ちょんまげ
ちらちら,"falling lightly (e.g. snow, petals, confetti)",ちらちら
ちらっと,at a glance,ちらっと
ちんこ,penis,ちんこ
ちんちん,penis,ちんちん
ちんちん鳴る,to jingle,ちんちんなる
ちんどん屋,traditional Japanese band of sandwich board advertisers,ちんどんや
チンピラ,(young) hoodlum,チンピラ
チンポ,penis,チンポ
ちんぽこ,penis,ちんぽこ
っ放し,keep ...-ing,っぱなし
つい,just (now),つい
序でに,incidentally,ついでに
つかつか,walking briskly,つかつか
掴み取る,to grasp,つかみとる
つくつく法師,Meimuna opalifera (species of cicada),つくつくぼうし
熟,deeply,つくづく
つつ,while,つつ
躑躅,azalea,つつじ
つなぎ合わせる,to connect,つなぎあわせる
つなぎ目,joint,つなぎめ
つばさ,extra-high-speed Tōhoku-line Shinkansen,つばさ
つべこべ,complaining,つべこべ
詰らない,dull,つまらない
つるつる,smooth,つるつる
ツンツン,aloof,ツンツン
突んのめる,to pitch forward,つんのめる
テカテカ,gleaming,テカテカ
てくてく,(walking a long distance) at a steady pace,てくてく
手こずる,to have much trouble,てこずる
てこてこ,sound of walking,てこてこ
てっきり,surely,てっきり
てれながら,feeling awkward,てれながら
てんで,(not) at all,てんで
跆拳道,taekwondo,テコンドー
である,be,である
であろう,will,であろう
でか,detective,でか
でかい,huge,でかい
でかでか,in a big way,でかでか
デカパイ,huge breasts,デカパイ
出来るようになる,to become possible,できるようになる
でしょう,it seems,でしょう
ですから,so,ですから
では,then,では
でも,but,でも
でれっと,slack,でれっと
デレデレ,idling,デレデレ
と,if,と
と言うのは,because ...,というのは
と言うもの,something like ...,というもの
とか,and the like,とか
とき,regular (stops at every station) Jouetsu-line Shinkansen,とき
ときめき,"beating (of the heart, with joy, excitement, etc.)",ときめき
ときめく,to beat fast (of one's heart),ときめく
所が,even so,ところが
ところがどっこい,on the contrary,ところがどっこい
として,as (i.e. in the role of),として
としても,even if ...,としても
とすると,then,とすると
途轍もない,extravagant,とてつもない
迚も,very,とても
とと,fishie,とと
隣の芝生は青い,the grass is always greener on the other side of the fence,となりのしばふはあおい
鳶,black kite (Milvus migrans),とび
とべ,last (in a contest),とべ
とぼとぼ,totteringly,とぼとぼ
とも言う,also called,ともいう
とやかく言う,to say this and that (about),とやかくいう
とろ,fatty cut (esp. of tuna belly),とろ
とろろ芋,yam,とろろいも
トンズラ,fleeing,トンズラ
とんだ,unthinkable,とんだ
とんでも無い,unthinkable,とんでもない
とんとん,with a tap,とんとん
と仮定して,assuming that ...,とかていして
と仮定しても,even assuming that ...,とかていしても
と共に,together with,とともに
という訳だ,this is why,というわけだ
と言えば,speaking of ...,といえば
言える,to be possible to say,いえる
と言われる,to be called ...,といわれる
と考えられる,to be conceivable that,とかんがえられる
と同じように,in the same way as,とおなじように
と比べて,compared with,とくらべて
如何,how,どう
どう言う,what kind of,どういう
どうしたの,what's the matter?,どうしたの
どうしたら良い,what's the best thing to do?,どうしたらいい
どうせ,anyhow,どうせ
どうぞ宜しく,pleased to meet you,どうぞよろしく
どうって事はない,nothing special,どうってことはない
どうという事もない,nothing special,どうということもない
どうにか,in some way or other,どうにか
どうも,thank you,どうも
どうやって,how,どうやって
